Date,Open,High,Low,Close,Volume,Close_Time,Number_of_Trades,EMA,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2022-02-13,42217.87,42760.0,41870.0,42053.66,17732.08113,1644796799999,624898,43137.80251231714,66.30948099266604,46390.822630274044,36338.25879829737,0,0
2022-02-14,42053.65,42842.4,41550.56,42535.94,34010.1306,1644883199999,867622,43116.307422591526,66.03633342634237,46423.660227692875,36886.712629449976,0,0
2022-02-15,42535.94,44751.4,42427.03,44544.86,38095.19576,1644969599999,990694,43167.32715749897,70.21772622245939,46748.36638212187,37397.75933216385,0,0
2022-02-16,44544.85,44549.97,43307.0,43873.56,28471.8727,1645055999999,823745,43192.54975901687,76.14899364676745,46251.16275703347,38891.7058143951,0,0
2022-02-17,43873.56,44164.71,40073.21,40515.7,47245.99494,1645142399999,1067658,43096.94798190912,59.83824464116286,45270.632479749715,40329.96323453601,0,0
2022-02-18,40515.71,40959.88,39450.0,39974.44,43845.92241,1645228799999,1025882,42985.42983969808,43.6325818091506,45521.665015084924,39850.38641348651,0,0
2022-02-19,39974.45,40444.32,39639.03,40079.17,18042.0551,1645315199999,586653,42881.63484542315,44.77609786830872,45686.74766506823,39499.10090636035,0,0
2022-02-20,40079.17,40125.44,38000.0,38386.89,33439.29011,1645401599999,811235,42721.108243800896,34.83629648415962,46135.25234049588,38480.027659504136,0,0
2022-02-21,38386.89,39494.35,36800.0,37008.16,62347.68496,1645487999999,1352290,42517.07437795086,23.90269803615972,46461.17193409477,37178.13235161952,0,0
2022-02-22,37008.16,38429.0,36350.0,38230.33,53785.94589,1645574399999,1212527,42363.97636445262,29.399886024700308,46225.687276759716,36583.23700895458,0,0
2022-02-23,38230.33,39249.93,37036.79,37250.01,43560.732,1645660799999,1030872,42181.33470857931,25.869796617771883,45868.5100187598,35922.88426695448,0,0
2022-02-24,37250.02,39843.0,34322.28,38327.21,120476.29458,1645747199999,2622780,42043.68739755861,32.72515296985121,45434.910103557566,35618.16561072815,0,0
2022-02-25,38328.68,39683.53,38014.37,39219.17,56574.57125,1645833599999,1408558,41942.81177621723,39.29138819260942,45133.3377229709,35469.086562743396,0,0
2022-02-26,39219.16,40348.45,38573.18,39116.72,29361.2568,1645919999999,924257,41841.87992706662,39.434383574991784,44816.729988106075,35342.672869036775,0,0
2022-02-27,39116.73,39855.7,37000.0,37699.07,46229.44719,1646006399999,1265753,41693.92242967139,36.331345567956994,44519.19322063228,35018.12535079628,0,0
2022-02-28,37699.08,44225.84,37450.17,43160.0,73945.63858,1646092799999,1931087,41746.28234289741,51.492412386597124,44685.76845998162,34940.70154001838,0,0
2022-03-01,43160.0,44949.0,42809.98,44421.2,61743.09873,1646179199999,1866871,41841.81511636536,49.693304179952015,44640.297305081054,34968.50698063323,0,0
2022-03-02,44421.2,45400.0,43334.09,43892.98,57782.65081,1646265599999,1653131,41915.0710050666,50.04850886448294,44646.72094602432,34964.85762540424,0,0
2022-03-03,43892.99,44101.12,41832.28,42454.0,50940.61021,1646351999999,1289320,41934.31846917136,55.35498793242157,44979.59740404033,34908.88116738824,0,0
2022-03-04,42454.0,42527.3,38550.0,39148.66,61964.68498,1646438399999,1465066,41834.83066670095,48.02086648745863,44938.4041554226,34832.10584457741,0,0
2022-03-05,39148.65,39613.24,38407.59,39397.96,30363.13341,1646524799999,879727,41747.79957146163,48.37859105153444,44894.819251571054,34778.37503414323,0,0
2022-03-06,39397.97,39693.87,38088.57,38420.81,39677.26158,1646611199999,986352,41628.97851533801,50.08358138342959,44894.28247295541,34783.757527044596,0,0
2022-03-07,38420.8,39547.57,37155.0,37988.0,63994.11559,1646697599999,1456041,41498.94356836165,52.53245168947279,44820.5298703903,34997.487272466846,0,0
2022-03-08,37988.01,39362.08,37867.65,38730.63,55583.06638,1646783999999,1271128,41400.07522663445,51.32592040555194,44810.72100043217,35078.767570996395,0,0
2022-03-09,38730.63,42594.06,38656.45,41941.71,67392.58799,1646870399999,1570230,41419.41932568322,61.119406168678815,44990.13634177374,35569.595086797686,0,0
2022-03-10,41941.7,42039.63,38539.73,39422.0,71962.93154,1646956799999,1512655,41348.08292119454,52.42861281639583,44963.88299125279,35752.24700874722,0,0
2022-03-11,39422.01,40236.26,38223.6,38729.57,59018.7642,1647043199999,1252571,41254.56460258045,48.90420181308047,44973.382564279585,35672.80457857755,0,0
2022-03-12,38729.57,39486.71,38660.52,38807.36,24034.36432,1647129599999,671733,41167.16443820258,49.30684080192801,44978.83732348641,35623.155533656434,0,0
2022-03-13,38807.35,39310.0,37578.51,37777.34,32791.82359,1647215999999,841844,41046.09927969534,50.17847378576487,44971.20084501006,35641.973440704234,0,0
2022-03-14,37777.35,39947.12,37555.0,39671.37,46945.45375,1647302399999,1114899,40997.001805420514,40.49973067460973,44428.905974391055,35685.892597037506,0,0
2022-03-15,39671.37,39887.61,38098.33,39280.33,46015.54926,1647388799999,1060517,40935.692098084066,35.30384728192915,43275.68027153479,36104.708299893784,0,0
2022-03-16,39280.33,41718.0,38828.48,41114.0,88120.76167,1647475199999,2051837,40942.06023743821,42.60751501118856,42297.91123832816,36685.48019024327,0,0
2022-03-17,41114.01,41478.82,40500.0,40917.9,37189.38087,1647561599999,935784,40941.19737181541,45.624419618187105,41779.63449073948,36984.31408068909,0,0
2022-03-18,40917.89,42325.02,40135.04,41757.51,45408.00969,1647647999999,1065054,40970.351394250574,58.64580771864148,42273.648874941704,36862.99255362972,0,0
2022-03-19,41757.51,42400.0,41499.29,42201.13,29067.18108,1647734399999,801197,41014.30777302734,59.171662296513006,42813.214346038534,36723.87993967576,0,0
2022-03-20,42201.13,42296.26,40911.0,41262.11,30653.33468,1647820799999,799695,41023.15785256208,59.3196733571423,43007.95193274803,36935.042352966244,0,0
2022-03-21,41262.11,41544.22,40467.94,41002.25,39426.24877,1647907199999,947206,41022.411143542005,60.000424667614645,43039.29755538279,37334.303873188626,0,0
2022-03-22,41002.26,43361.0,40875.51,42364.13,59454.94294,1647993599999,1367343,41070.329674129796,61.579134549320386,43387.90617664038,37504.76668050247,0,0
2022-03-23,42364.13,43025.96,41751.47,42882.76,40828.87039,1648079999999,916671,41135.05932862516,53.620144321060906,43639.54794832774,37387.560623100835,0,0
2022-03-24,42882.76,44220.89,42560.46,43991.46,56195.12374,1648166399999,1202541,41237.07363831712,69.71906718221362,44399.17408918291,37280.71448224566,0,0
2022-03-25,43991.46,45094.14,43579.0,44313.16,54614.43648,1648252799999,1141588,41346.93386552008,74.8919146158901,45023.52032541485,37454.023960299426,0,0
2022-03-26,44313.16,44792.99,44071.97,44511.27,23041.61741,1648339199999,693647,41459.94587032293,75.15841139591689,45530.18961563193,37762.198955796644,0,0
